Employee ID,Job Type,Location,Hire_Date,Termination_Date
9002330,Correctional,Epsilon,9/1/2012,4/3/2018
9002484,Admin Assistant,Epsilon,11/15/2013,4/3/2018
9003464,Correctional,Delta,10/16/2017,4/3/2018
9003556,Correctional,Epsilon,12/15/2017,4/3/2018
9003607,Correctional,Gamma,2/1/2018,4/4/2018
9001989,Correctional,Delta,7/7/2008,4/5/2018
9003085,Correctional,Alpha,7/1/2016,4/5/2018
9003097,Correctional,Epsilon,8/1/2016,4/5/2018
9003507,Case Manager,Halfway House,11/1/2017,4/5/2018
9002818,Admin Assistant,Administrative Offices,8/1/2015,4/8/2018
9002104,Auditor,Administrative Offices,4/19/2010,4/10/2018
9003351,Correctional,Epsilon,2/1/2018,4/10/2018
9002022,Correctional,Gamma,10/1/2008,4/11/2018
9003683,Correctional,Halfway House,4/1/2018,4/11/2018
9002327,Case Manager,Beta,11/1/2017,4/13/2018
9002497,Program Specialist,Epsilon,1/15/2014,4/13/2018
9003047,IT,Administrative Offices,6/1/2016,4/13/2018
9003080,Correctional,Gamma,7/1/2016,4/14/2018
9003321,Correctional,Epsilon,6/1/2017,4/16/2018
9003513,Correctional,Halfway House,11/15/2017,4/17/2018
9003108,Educator,Alpha,8/1/2016,4/18/2018
9003671,Correctional,Delta,3/15/2018,4/19/2018
9001246,Case Manager,Gamma,11/17/1997,4/20/2018
9003460,Program Specialist,Epsilon,10/16/2017,4/20/2018
9003531,Correctional,Halfway House,12/1/2017,4/20/2018
9002923,Correctional,Gamma,12/1/2015,4/22/2018
9002260,Correctional,Delta,3/1/2012,4/23/2018
9002288,Correctional,Delta,5/15/2012,4/24/2018
9002112,Other,Gamma,5/1/2014,4/25/2018
9003637,Correctional,Epsilon,3/1/2018,4/25/2018
9001757,Clerk,Delta,2/15/2006,4/29/2018
9001168,Case Manager,Epsilon,4/1/1997,4/30/2018
9001327,Parole,Parole Region,1/1/2012,4/30/2018
9001873,Correctional,Halfway House,9/17/2007,4/30/2018
9002087,Facility Leadership,Gamma,1/4/2010,4/30/2018
9002095,Clerk,Gamma,2/16/2010,4/30/2018
9002325,Director,Administrative Offices,8/20/2012,4/30/2018
9002644,Other,Alpha,10/15/2014,4/30/2018
9002861,Correctional,Gamma,10/1/2015,4/30/2018
9003081,Correctional,Gamma,7/1/2016,4/30/2018
9003082,Correctional,Gamma,7/1/2016,4/30/2018
9003141,Other,Gamma,9/15/2016,4/30/2018
9003171,Correctional,Halfway House,11/1/2016,4/30/2018
9003338,Other,Epsilon,7/1/2017,4/30/2018
9003372,Correctional,Epsilon,8/15/2017,4/30/2018
9002548,Educator,Alpha,5/15/2014,5/1/2018
9003153,Correctional,Gamma,10/1/2016,5/1/2018
