Employee_ID,HR_Job_Type,HR_Location,Hire_Date,Termination_Date
9001851,Correctional,Epsilon,2014-06-16,2019-04-01
9003663,Correctional,Epsilon,2018-03-15,2019-04-01
9002446,Correctional,Beta,2013-08-01,2019-04-02
9003348,Correctional,Epsilon,2017-07-17,2019-04-03
9003392,Correctional,Epsilon,2017-09-01,2019-04-04
9004018,Correctional,Beta,2019-01-01,2019-04-10
9002795,Correctional,Epsilon,2015-07-01,2019-04-15
9003582,Correctional,Beta,2018-01-01,2019-04-19
9003255,Correctional,Beta,2017-03-01,2019-04-24
9003972,Correctional,Epsilon,2018-11-01,2019-04-24
9001005,Correctional,Epsilon,2011-01-12,NA
9001007,Correctional,Gamma,2014-06-01,NA
9001011,Correctional Supervisor,Epsilon,2011-01-12,NA
9001014,Correctional,Epsilon,2011-01-12,NA
9001018,Correctional,Delta,2011-01-12,NA
9001019,Correctional,Gamma,2011-01-12,NA
9001023,Correctional,Epsilon,2011-01-12,NA
9001031,Correctional,Alpha,2018-11-01,NA
9001038,Correctional,Epsilon,2015-05-01,NA
9001039,Correctional,Beta,2011-01-12,NA
9001042,Correctional,Epsilon,2011-01-12,NA
9001044,Correctional,Epsilon,2011-01-12,NA
9001046,Correctional,Epsilon,2011-01-12,NA
9001050,Correctional,Epsilon,2011-01-12,NA
9001052,Correctional,Epsilon,2011-01-12,NA
9001057,Correctional Supervisor,Epsilon,2016-04-01,NA
9001061,Correctional,Beta,2011-01-12,NA
9001070,Correctional,Beta,2011-01-12,NA
9001076,Correctional,Delta,2011-01-12,NA
9001077,Correctional,Beta,2011-01-12,NA
9001085,Correctional,Gamma,2016-07-01,NA
9001088,Correctional Supervisor,Delta,2014-08-01,NA
9001094,Correctional,Epsilon,2011-01-12,NA
9001095,Correctional,Epsilon,2011-01-12,NA
9001098,Correctional Supervisor,Gamma,2011-01-12,NA
9001101,Correctional,Delta,2013-06-01,NA
9001106,Correctional,Alpha,2015-12-01,NA
9001107,Correctional,Gamma,2016-06-01,NA
9001110,Correctional Supervisor,Gamma,2011-01-12,NA
9001121,Correctional,Delta,2011-01-12,NA
9001124,Correctional,Delta,2011-01-12,NA
9001135,Correctional Supervisor,Epsilon,2011-01-12,NA
9001137,Correctional,Alpha,2014-11-01,NA
9001141,Correctional,Alpha,2011-01-12,NA
9001159,Correctional,Epsilon,2011-01-12,NA
9001164,Correctional Supervisor,Delta,2011-01-12,NA
9001165,Correctional,Epsilon,2011-01-12,NA
9001171,Correctional,Epsilon,2011-01-12,NA
9001175,Correctional Supervisor,Epsilon,2011-01-12,NA
9001182,Correctional,Alpha,2011-01-12,NA
9001190,Correctional,Alpha,2011-01-12,NA
9001191,Correctional,Alpha,2011-01-12,NA
9001194,Correctional,Alpha,2011-01-12,NA
9001197,Correctional,Beta,2015-07-15,NA
9001203,Correctional,Delta,2011-01-12,NA
9001205,Correctional,Delta,2017-05-01,NA
9001210,Correctional,Gamma,2011-01-12,NA
9001212,Correctional,Epsilon,2011-01-12,NA
9001213,Correctional,Delta,2011-01-12,NA
9001214,Correctional,Gamma,2011-01-12,NA
9001215,Correctional,Gamma,2011-01-12,NA
9001218,Correctional,Delta,2011-01-12,NA
9001220,Correctional Supervisor,Delta,2011-01-12,NA
9001221,Correctional,Gamma,2011-01-12,NA
9001222,Correctional,Gamma,2011-01-12,NA
9001226,Correctional,Gamma,2011-01-12,NA
9001227,Correctional,Gamma,2015-02-01,NA
9001230,Correctional,Gamma,2011-01-12,NA
9001231,Correctional,Gamma,2012-07-01,NA
9001233,Correctional,Gamma,2011-01-12,NA
9001234,Correctional Supervisor,Gamma,2012-10-01,NA
9001238,Correctional,Gamma,2011-01-12,NA
9001240,Correctional,Gamma,2011-01-12,NA
9001241,Correctional,Gamma,2011-01-12,NA
9001243,Correctional,Gamma,2018-10-01,NA
9001247,Correctional Supervisor,Delta,2011-01-12,NA
9001249,Correctional,Gamma,2016-03-01,NA
9001252,Correctional,Gamma,2011-01-12,NA
9001255,Correctional,Epsilon,2011-01-12,NA
9001258,Correctional,Alpha,2011-01-12,NA
9001259,Correctional Supervisor,Delta,2011-01-12,NA
9001266,Correctional,Delta,2011-01-12,NA
9001269,Correctional,Epsilon,2011-01-12,NA
9001277,Correctional,Epsilon,2012-02-01,NA
9001278,Correctional Supervisor,Delta,2011-01-12,NA
9001285,Correctional,Delta,2011-01-12,NA
9001292,Correctional Supervisor,Delta,2011-01-12,NA
9001294,Correctional,Delta,2011-01-12,NA
9001295,Correctional,Beta,2011-01-12,NA
9001300,Correctional Supervisor,Delta,2014-07-01,NA
9001304,Correctional,Gamma,2017-03-01,NA
9001305,Correctional Supervisor,Delta,2014-01-15,NA
9001308,Correctional,Beta,2011-01-12,NA
9001309,Correctional,Gamma,2011-01-12,NA
9001311,Correctional Supervisor,Delta,2011-01-12,NA
9001312,Correctional Supervisor,Epsilon,2014-07-15,NA
9001328,Correctional,Epsilon,2011-01-12,NA
9001330,Correctional Supervisor,Beta,2012-01-17,NA
9001331,Correctional Supervisor,Gamma,2011-01-12,NA
9001343,Correctional,Epsilon,2011-01-12,NA
9001345,Correctional,Gamma,2011-01-12,NA
9001352,Correctional,Gamma,2014-12-15,NA
9001358,Correctional,Delta,2011-01-12,NA
9001360,Correctional,Delta,2011-01-12,NA
9001367,Correctional,Delta,2011-01-12,NA
9001370,Correctional,Beta,2011-01-12,NA
9001382,Correctional,Delta,2013-04-01,NA
9001384,Correctional Supervisor,Delta,2011-01-12,NA
9001386,Correctional Supervisor,Gamma,2014-06-01,NA
9001388,Correctional,Alpha,2011-01-12,NA
9001389,Correctional Supervisor,Delta,2011-01-12,NA
9001390,Correctional Supervisor,Delta,2011-01-12,NA
9001391,Correctional,Epsilon,2011-01-12,NA
9001393,Correctional,Epsilon,2011-01-12,NA
9001394,Correctional,Epsilon,2011-01-12,NA
9001395,Correctional,Delta,2011-01-12,NA
9001398,Correctional,Delta,2011-01-12,NA
9001401,Correctional,Alpha,2011-01-12,NA
9001414,Correctional Supervisor,Epsilon,2011-01-12,NA
9001415,Correctional Supervisor,Epsilon,2015-04-01,NA
9001417,Correctional,Delta,2011-01-12,NA
9001421,Correctional,Epsilon,2011-01-12,NA
9001422,Correctional,Epsilon,2011-01-12,NA
9001425,Correctional,Delta,2011-01-12,NA
9001433,Correctional Supervisor,Epsilon,2011-01-12,NA
9001436,Correctional Supervisor,Delta,2011-01-12,NA
9001446,Correctional Supervisor,Epsilon,2017-11-15,NA
9001456,Correctional,Delta,2015-03-01,NA
9001463,Correctional,Epsilon,2014-02-01,NA
9001464,Correctional,Epsilon,2011-01-12,NA
9001465,Correctional,Delta,2011-01-12,NA
9001467,Correctional,Gamma,2011-01-12,NA
