Shift_ID,Employee_ID,Shift_Location,Shift_Job_Type,Day,Start_Date,Start_Time,End_Date,End_Time,Length,Shift_Type,Shift_Start,Shift_End
A050023,9001141,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T08:00:01Z,2019-04-01T00:00:00Z,1899-12-31T17:00:00Z,8,Scheduled,2019-04-01T13:00:01Z,2019-04-01T22:00:00Z
A050024,9002842,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T08:00:01Z,2019-04-01T00:00:00Z,1899-12-31T17:00:00Z,8,Scheduled,2019-04-01T13:00:01Z,2019-04-01T22:00:00Z
A050025,9002349,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050026,9003239,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050027,9001618,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050028,9001747,Alpha,Correctional Supervisor,Mon,2019-04-01T00:00:00Z,1899-12-31T13:00:01Z,2019-04-01T00:00:00Z,1899-12-31T21:00:00Z,8,Scheduled,2019-04-01T18:00:01Z,2019-04-02T02:00:00Z
A050029,9002613,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,8,Scheduled,2019-04-01T19:00:00Z,2019-04-02T03:00:01Z
A050030,9002672,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,8,Scheduled,2019-04-01T19:00:00Z,2019-04-02T03:00:01Z
A050031,9003505,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,8,Scheduled,2019-04-01T19:00:00Z,2019-04-02T03:00:01Z
A050032,9002370,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,8,Scheduled,2019-04-01T19:00:00Z,2019-04-02T03:00:01Z
A050035,9002061,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,2019-04-02T00:00:00Z,1899-12-31T06:00:00Z,8,Scheduled,2019-04-02T03:00:01Z,2019-04-02T11:00:00Z
A050036,9002614,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,2019-04-02T00:00:00Z,1899-12-31T06:00:00Z,8,Scheduled,2019-04-02T03:00:01Z,2019-04-02T11:00:00Z
A050037,9003950,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T22:00:01Z,2019-04-02T00:00:00Z,1899-12-31T06:00:00Z,8,Scheduled,2019-04-02T03:00:01Z,2019-04-02T11:00:00Z
A050038,9002941,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050039,9002249,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050040,9003110,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050041,9002546,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050042,9002347,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050043,9001194,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050044,9002158,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Scheduled,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050045,9002400,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Time Off,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
A050046,9001665,Alpha,Correctional,Mon,2019-04-01T00:00:00Z,1899-12-31T06:00:00Z,2019-04-01T00:00:00Z,1899-12-31T14:00:00Z,8,Time Off,2019-04-01T11:00:00Z,2019-04-01T19:00:00Z
