Employee_ID,Reason
9001135,Assigned to multiple cameras at the same time
9001141,Assigned to multiple cameras at the same time
9001673,Assigned to multiple cameras at the same time
9001802,Assigned to multiple cameras at the same time
9001991,Assigned to multiple cameras at the same time
9002051,Assigned to multiple cameras at the same time
9002089,Assigned to multiple cameras at the same time
9002423,Assigned to multiple cameras at the same time
9002760,Assigned to multiple cameras at the same time
9002917,Assigned to multiple cameras at the same time
9002963,Assigned to multiple cameras at the same time
9003037,Assigned to multiple cameras at the same time
9003162,Assigned to multiple cameras at the same time
9003278,Assigned to multiple cameras at the same time
9003343,Assigned to multiple cameras at the same time
9003448,Assigned to multiple cameras at the same time
9003487,Assigned to multiple cameras at the same time
9003569,Assigned to multiple cameras at the same time
9003673,Assigned to multiple cameras at the same time
9003886,Assigned to multiple cameras at the same time
9003970,Assigned to multiple cameras at the same time
9004033,Assigned to multiple cameras at the same time
9001851,Missing in Shift Data
9003663,Missing in Shift Data
9003348,Missing in Shift Data
9003392,Missing in Shift Data
9002795,Missing in Shift Data
9003972,Missing in Shift Data
9001011,Missing in Shift Data
9001023,Missing in Shift Data
9001050,Missing in Shift Data
9001085,Missing in Shift Data
9001095,Missing in Shift Data
9001098,Missing in Shift Data
9001110,Missing in Shift Data
9001164,Missing in Shift Data
9001165,Missing in Shift Data
9001171,Missing in Shift Data
9001175,Missing in Shift Data
9001212,Missing in Shift Data
9001220,Missing in Shift Data
9001221,Missing in Shift Data
9001226,Missing in Shift Data
9001234,Missing in Shift Data
9001247,Missing in Shift Data
9001249,Missing in Shift Data
9001255,Missing in Shift Data
9001259,Missing in Shift Data
9001278,Missing in Shift Data
9001300,Missing in Shift Data
9001311,Missing in Shift Data
9001312,Missing in Shift Data
9001328,Missing in Shift Data
9001330,Missing in Shift Data
9001331,Missing in Shift Data
9001343,Missing in Shift Data
9001367,Missing in Shift Data
9001393,Missing in Shift Data
9001415,Missing in Shift Data
9001417,Missing in Shift Data
9001422,Missing in Shift Data
9001436,Missing in Shift Data
9001485,Missing in Shift Data
9001497,Missing in Shift Data
9001516,Missing in Shift Data
9001522,Missing in Shift Data
9001575,Missing in Shift Data
9001582,Missing in Shift Data
9001602,Missing in Shift Data
9001603,Missing in Shift Data
9001605,Missing in Shift Data
9001631,Missing in Shift Data
9001635,Missing in Shift Data
9001653,Missing in Shift Data
9001654,Missing in Shift Data
9001667,Missing in Shift Data
9001673,Missing in Shift Data
9001692,Missing in Shift Data
9001696,Missing in Shift Data
9001717,Missing in Shift Data
9001719,Missing in Shift Data
9001746,Missing in Shift Data
9001758,Missing in Shift Data
9001780,Missing in Shift Data
9001815,Missing in Shift Data
9001845,Missing in Shift Data
9001853,Missing in Shift Data
9001871,Missing in Shift Data
9001901,Missing in Shift Data
9001915,Missing in Shift Data
9001918,Missing in Shift Data
9001933,Missing in Shift Data
9001997,Missing in Shift Data
9002010,Missing in Shift Data
9002030,Missing in Shift Data
9002049,Missing in Shift Data
9002055,Missing in Shift Data
9002062,Missing in Shift Data
9002073,Missing in Shift Data
9002089,Missing in Shift Data
9002196,Missing in Shift Data
9002197,Missing in Shift Data
9002248,Missing in Shift Data
9002267,Missing in Shift Data
9002306,Missing in Shift Data
9002333,Missing in Shift Data
9002337,Missing in Shift Data
9002364,Missing in Shift Data
9002365,Missing in Shift Data
9002380,Missing in Shift Data
9002393,Missing in Shift Data
9002436,Missing in Shift Data
9002461,Missing in Shift Data
9002467,Missing in Shift Data
9002476,Missing in Shift Data
9002489,Missing in Shift Data
9002547,Missing in Shift Data
9002627,Missing in Shift Data
9002708,Missing in Shift Data
9002710,Missing in Shift Data
9002727,Missing in Shift Data
9002729,Missing in Shift Data
9002813,Missing in Shift Data
9002815,Missing in Shift Data
9002828,Missing in Shift Data
9002839,Missing in Shift Data
9002896,Missing in Shift Data
9002966,Missing in Shift Data
9002993,Missing in Shift Data
9003011,Missing in Shift Data
9003024,Missing in Shift Data
9003135,Missing in Shift Data
9003242,Missing in Shift Data
9003267,Missing in Shift Data
9003340,Missing in Shift Data
9003364,Missing in Shift Data
9003956,Missing in Shift Data
9003960,Missing in Shift Data
9003964,Missing in Shift Data
9004028,Missing in Shift Data
9004034,Missing in Shift Data
9004038,Missing in Shift Data
